epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0766,1.708,4.56694,1.62812,0,0,0,0,nan,nan,nan,0.00163636,0.00163636,0.0689091
2,32.4985,1.76423,3.68652,1.66155,0,0,0,0,nan,nan,nan,0.00328877,0.00328877,0.0372282
3,42.9482,1.63385,3.58164,1.62599,0,0,0,0,nan,nan,nan,0.00492678,0.00492678,0.00553284
4,54.3058,1.63296,3.34664,1.63519,0,0,0,0,3.66747,inf,13.189,0.00493523,0.00493523,0.00493523
5,65.1087,1.58682,2.99006,1.58614,0.06266,0.07962,0.05029,0.02899,2.21924,5.38215,2.35694,0.00491364,0.00491364,0.00491364
6,75.9175,1.60308,2.85442,1.5969,0.08605,0.1483,0.10795,0.06424,1.66402,3.67548,1.83609,0.00489205,0.00489205,0.00489205
7,86.7476,1.53896,2.61955,1.55303,0.19866,0.18883,0.14452,0.08858,1.51079,3.18897,1.67374,0.00487045,0.00487045,0.00487045
8,97.669,1.48162,2.34979,1.53726,0.31177,0.23019,0.22495,0.13804,1.51728,2.89496,1.69661,0.00484886,0.00484886,0.00484886
9,108.498,1.44834,2.14648,1.48732,0.31891,0.33079,0.29145,0.18168,1.43568,2.38193,1.62552,0.00482727,0.00482727,0.00482727
10,119.34,1.44908,2.15528,1.53115,0.3821,0.29405,0.30285,0.18083,1.5341,2.55129,1.67586,0.00480568,0.00480568,0.00480568
11,129.975,1.40601,2.05604,1.47253,0.33322,0.43473,0.38921,0.2488,1.4106,2.15357,1.59204,0.00478409,0.00478409,0.00478409
12,140.759,1.38467,1.81606,1.44143,0.46309,0.45684,0.46751,0.30491,1.33875,1.79441,1.55116,0.0047625,0.0047625,0.0047625
13,151.472,1.38001,1.68777,1.47169,0.49774,0.48931,0.50125,0.31854,1.38859,1.72714,1.57439,0.00474091,0.00474091,0.00474091
14,162.193,1.36271,1.67092,1.44425,0.52948,0.51244,0.54794,0.35583,1.32373,1.58629,1.52993,0.00471932,0.00471932,0.00471932
15,172.914,1.34319,1.56035,1.43198,0.53768,0.54625,0.56785,0.36361,1.34746,1.51835,1.56111,0.00469773,0.00469773,0.00469773
16,183.632,1.34574,1.56322,1.42173,0.53831,0.53377,0.53364,0.3417,1.37721,1.62933,1.58104,0.00467614,0.00467614,0.00467614
17,194.176,1.32272,1.4436,1.40494,0.56423,0.58769,0.6013,0.38148,1.33129,1.39672,1.53153,0.00465455,0.00465455,0.00465455
18,204.819,1.33257,1.42789,1.43095,0.58576,0.60297,0.63099,0.40887,1.32928,1.336,1.55051,0.00463295,0.00463295,0.00463295
19,215.484,1.29736,1.3221,1.41127,0.62719,0.61566,0.64666,0.42028,1.26897,1.27809,1.49538,0.00461136,0.00461136,0.00461136
20,226.129,1.28917,1.28199,1.38786,0.62958,0.6405,0.66696,0.42328,1.33914,1.24957,1.53771,0.00458977,0.00458977,0.00458977
21,236.746,1.28108,1.26694,1.42808,0.65139,0.62741,0.66873,0.42809,1.29784,1.21837,1.5197,0.00456818,0.00456818,0.00456818
22,247.433,1.28471,1.24323,1.3984,0.60651,0.63339,0.65264,0.42411,1.30569,1.23552,1.51728,0.00454659,0.00454659,0.00454659
23,257.868,1.28999,1.21342,1.40902,0.62193,0.63798,0.6784,0.44792,1.26552,1.23477,1.51489,0.004525,0.004525,0.004525
24,268.485,1.26273,1.21104,1.39516,0.6736,0.63577,0.69335,0.45824,1.26539,1.1977,1.48606,0.00450341,0.00450341,0.00450341
25,282.111,1.2538,1.22098,1.40274,0.66235,0.65645,0.68834,0.44213,1.31814,1.19106,1.52922,0.00448182,0.00448182,0.00448182
26,292.633,1.26759,1.16592,1.36708,0.69274,0.64125,0.68896,0.45576,1.27303,1.16336,1.50088,0.00446023,0.00446023,0.00446023
27,303.018,1.26365,1.16032,1.42827,0.70203,0.64383,0.6916,0.45899,1.25624,1.13038,1.48843,0.00443864,0.00443864,0.00443864
28,313.634,1.2693,1.18521,1.42141,0.6422,0.66429,0.69694,0.4566,1.2829,1.15297,1.51094,0.00441705,0.00441705,0.00441705
29,324.1,1.26339,1.13773,1.40382,0.63052,0.67471,0.69352,0.46087,1.24697,1.16254,1.48839,0.00439545,0.00439545,0.00439545
30,334.748,1.26221,1.12995,1.3819,0.66436,0.66675,0.70671,0.46287,1.28405,1.12356,1.50569,0.00437386,0.00437386,0.00437386
31,345.388,1.23711,1.08043,1.38186,0.69924,0.66836,0.73132,0.48215,1.2465,1.07207,1.4649,0.00435227,0.00435227,0.00435227
32,356.081,1.25413,1.05613,1.36061,0.70564,0.6708,0.71847,0.47784,1.23031,1.08802,1.47141,0.00433068,0.00433068,0.00433068
33,366.538,1.25106,1.15009,1.41744,0.71883,0.67781,0.71971,0.47413,1.25412,1.08893,1.4881,0.00430909,0.00430909,0.00430909
34,377.036,1.20929,1.01314,1.33461,0.74884,0.66133,0.72317,0.4845,1.23762,1.05175,1.47318,0.0042875,0.0042875,0.0042875
35,387.667,1.23468,1.03105,1.39112,0.69039,0.68429,0.72546,0.48226,1.22877,1.04894,1.46909,0.00426591,0.00426591,0.00426591
36,398.073,1.18599,0.98196,1.35203,0.6735,0.71043,0.73901,0.49418,1.22939,1.03605,1.46669,0.00424432,0.00424432,0.00424432
37,408.615,1.18509,0.98148,1.31553,0.68375,0.69648,0.72994,0.48599,1.2344,1.04219,1.46652,0.00422273,0.00422273,0.00422273
38,419.015,1.1772,1.04507,1.36174,0.74893,0.66411,0.73987,0.49543,1.19956,1.01177,1.4529,0.00420114,0.00420114,0.00420114
39,429.631,1.17872,0.95766,1.31759,0.71923,0.69781,0.73994,0.49127,1.24896,0.99823,1.468,0.00417955,0.00417955,0.00417955
40,440.094,1.18554,0.9672,1.33536,0.67757,0.72607,0.73975,0.4949,1.20936,0.98084,1.44518,0.00415795,0.00415795,0.00415795
41,450.517,1.19116,0.98731,1.33249,0.69578,0.72804,0.74503,0.4916,1.22569,0.99966,1.44936,0.00413636,0.00413636,0.00413636
42,460.97,1.20361,1.02547,1.33788,0.73501,0.66185,0.74909,0.49539,1.23672,1.01081,1.45885,0.00411477,0.00411477,0.00411477
43,471.443,1.21172,1.02126,1.32328,0.72358,0.68494,0.73952,0.48242,1.24546,1.01491,1.47004,0.00409318,0.00409318,0.00409318
44,481.832,1.17743,0.93464,1.3518,0.7234,0.71123,0.74573,0.49675,1.22189,0.97357,1.44881,0.00407159,0.00407159,0.00407159
45,492.439,1.17126,0.90474,1.32832,0.7114,0.70863,0.73479,0.48862,1.21753,0.97817,1.45107,0.00405,0.00405,0.00405
46,502.853,1.15386,0.90693,1.32891,0.71909,0.72048,0.73846,0.49236,1.20414,0.9671,1.4386,0.00402841,0.00402841,0.00402841
47,513.293,1.13871,0.89616,1.29982,0.75109,0.71953,0.75114,0.5031,1.19887,0.92546,1.43634,0.00400682,0.00400682,0.00400682
48,523.832,1.13216,0.87302,1.32066,0.74244,0.71444,0.75139,0.50257,1.22131,0.9603,1.46757,0.00398523,0.00398523,0.00398523
49,534.24,1.13392,0.86173,1.3284,0.73518,0.71309,0.75537,0.50627,1.1934,0.9433,1.42593,0.00396364,0.00396364,0.00396364
50,544.748,1.16824,0.87895,1.3384,0.71512,0.73223,0.75306,0.49944,1.18839,0.91092,1.43763,0.00394205,0.00394205,0.00394205
51,555.186,1.12823,0.90179,1.32371,0.72352,0.71589,0.75742,0.50108,1.21933,0.92403,1.45785,0.00392045,0.00392045,0.00392045
52,565.647,1.16876,0.89065,1.3269,0.72718,0.71703,0.75738,0.50887,1.19711,0.92808,1.43647,0.00389886,0.00389886,0.00389886
53,576.286,1.12665,0.85594,1.31144,0.73332,0.70976,0.75842,0.50967,1.19314,0.92165,1.43104,0.00387727,0.00387727,0.00387727
54,586.884,1.13587,0.86998,1.33512,0.73105,0.72917,0.76424,0.50773,1.20006,0.90737,1.43725,0.00385568,0.00385568,0.00385568
55,597.35,1.14722,0.83124,1.30163,0.72078,0.74493,0.75845,0.50464,1.20089,0.92734,1.44639,0.00383409,0.00383409,0.00383409
56,607.817,1.13072,0.84565,1.2983,0.71699,0.73612,0.75811,0.50601,1.21081,0.90703,1.44203,0.0038125,0.0038125,0.0038125
57,618.271,1.12868,0.83293,1.3092,0.71034,0.7356,0.75873,0.50747,1.17589,0.895,1.43438,0.00379091,0.00379091,0.00379091
58,629.113,1.13293,0.79852,1.29142,0.74439,0.68507,0.75387,0.49781,1.25722,0.94942,1.47025,0.00376932,0.00376932,0.00376932
59,639.52,1.12468,0.80189,1.29433,0.69636,0.74683,0.75676,0.50867,1.19329,0.91947,1.44858,0.00374773,0.00374773,0.00374773
60,649.903,1.11814,0.82305,1.31488,0.75533,0.7141,0.76431,0.5095,1.21696,0.91518,1.45578,0.00372614,0.00372614,0.00372614
61,660.352,1.10706,0.78679,1.29695,0.74991,0.72558,0.76287,0.51036,1.21763,0.90531,1.45304,0.00370455,0.00370455,0.00370455
62,670.939,1.13838,0.80415,1.29509,0.72343,0.73762,0.76622,0.50921,1.20677,0.89966,1.44733,0.00368295,0.00368295,0.00368295
63,681.347,1.1205,0.79081,1.29623,0.75384,0.7196,0.76251,0.51724,1.17854,0.88904,1.42186,0.00366136,0.00366136,0.00366136
64,691.948,1.10462,0.77456,1.27808,0.73332,0.70564,0.76309,0.51168,1.20772,0.88668,1.44879,0.00363977,0.00363977,0.00363977
65,702.416,1.11544,0.77952,1.28265,0.72705,0.76075,0.7636,0.51149,1.18846,0.86966,1.43446,0.00361818,0.00361818,0.00361818
66,712.817,1.09982,0.8057,1.28159,0.74411,0.74575,0.7758,0.51311,1.20465,0.86568,1.44343,0.00359659,0.00359659,0.00359659
67,723.289,1.0999,0.78667,1.2688,0.73798,0.71744,0.76808,0.51485,1.19686,0.88952,1.44541,0.003575,0.003575,0.003575
68,733.677,1.12307,0.83398,1.30757,0.73528,0.69722,0.75755,0.51048,1.18292,0.91661,1.42648,0.00355341,0.00355341,0.00355341
69,744.094,1.09193,0.78694,1.29236,0.71383,0.74031,0.75802,0.51124,1.17686,0.87926,1.42609,0.00353182,0.00353182,0.00353182
70,754.558,1.07073,0.75002,1.24142,0.74416,0.74301,0.76285,0.5147,1.18722,0.85404,1.43292,0.00351023,0.00351023,0.00351023
71,764.993,1.09794,0.73499,1.26631,0.73742,0.74115,0.76755,0.51448,1.18438,0.89142,1.42846,0.00348864,0.00348864,0.00348864
72,775.449,1.1029,0.81089,1.28833,0.73813,0.72155,0.76489,0.5148,1.16766,0.88045,1.42079,0.00346705,0.00346705,0.00346705
73,785.852,1.07115,0.75141,1.28273,0.72804,0.7374,0.76846,0.52023,1.16388,0.8736,1.42988,0.00344545,0.00344545,0.00344545
74,796.547,1.08587,0.75093,1.26804,0.74824,0.73598,0.7703,0.51666,1.17647,0.87881,1.4267,0.00342386,0.00342386,0.00342386
75,806.98,1.07358,0.75849,1.28097,0.76865,0.71611,0.77008,0.51941,1.17363,0.84796,1.42284,0.00340227,0.00340227,0.00340227
76,817.336,1.04854,0.73223,1.27146,0.75414,0.73263,0.77733,0.5262,1.16478,0.84522,1.41577,0.00338068,0.00338068,0.00338068
77,827.94,1.07367,0.77136,1.28623,0.73281,0.7423,0.77425,0.5226,1.17521,0.84888,1.44115,0.00335909,0.00335909,0.00335909
78,838.4,1.06785,0.7982,1.23632,0.74308,0.73028,0.76695,0.50945,1.19327,0.89672,1.44032,0.0033375,0.0033375,0.0033375
79,848.891,1.07516,0.79597,1.26337,0.74386,0.73858,0.77094,0.51539,1.17733,0.86555,1.43381,0.00331591,0.00331591,0.00331591
80,859.308,1.0734,0.74148,1.26092,0.78103,0.72565,0.7718,0.51779,1.19806,0.86349,1.43579,0.00329432,0.00329432,0.00329432
81,869.718,1.07366,0.72629,1.26754,0.74524,0.74457,0.77276,0.52073,1.18493,0.84843,1.42223,0.00327273,0.00327273,0.00327273
82,880.125,1.04671,0.73716,1.24489,0.7358,0.74813,0.7728,0.52212,1.17105,0.83521,1.42854,0.00325114,0.00325114,0.00325114
83,890.518,1.04784,0.72813,1.2745,0.76414,0.71131,0.77254,0.51632,1.19642,0.85492,1.44159,0.00322955,0.00322955,0.00322955
84,900.951,1.05473,0.71953,1.23719,0.71882,0.75308,0.7711,0.52008,1.17462,0.83257,1.42356,0.00320795,0.00320795,0.00320795
85,911.351,1.04941,0.71278,1.25253,0.74338,0.75287,0.7815,0.52624,1.17868,0.8265,1.42334,0.00318636,0.00318636,0.00318636
86,921.934,1.04616,0.69371,1.24978,0.76947,0.73553,0.76532,0.51532,1.16251,0.84637,1.42062,0.00316477,0.00316477,0.00316477
87,932.351,1.05952,0.70695,1.26987,0.7409,0.74883,0.78015,0.52185,1.16934,0.82508,1.43404,0.00314318,0.00314318,0.00314318
